TITLE SAMPLE NAME:,PP_ZEPTO_LID
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.959
LASTX:,599.82981
LASTY:,97.976
NPOINTS:,1681
3160.3278,98.986
3158.28757,99.01
3156.24733,99.018
3154.20709,99.006
3152.16685,99.001
3150.12662,99.005
3148.08638,99.004
3146.04614,99.001
3144.0059,99.003
3141.96567,99.013
3139.92543,99.026
3137.88519,99.024
3135.84495,99.005
3133.80472,98.99
3131.76448,98.989
3129.72424,99.002
3127.68401,99.017
3125.64377,99.019
3123.60353,99.017
3121.56329,99.02
3119.52306,99.026
3117.48282,99.032
3115.44258,99.034
3113.40234,99.029
3111.36211,99.02
3109.32187,99.01
3107.28163,99.01
3105.24139,99.021
3103.20116,99.037
3101.16092,99.062
3099.12068,99.085
3097.08044,99.078
3095.04021,99.044
3092.99997,99.013
3090.95973,99.006
3088.91949,99.013
3086.87926,99.013
3084.83902,99.013
3082.79878,99.023
3080.75854,99.035
3078.71831,99.036
3076.67807,99.029
3074.63783,99.027
3072.59759,99.042
3070.55736,99.058
3068.51712,99.061
3066.47688,99.054
3064.43664,99.04
3062.39641,99.022
3060.35617,99.017
3058.31593,99.023
3056.27569,99.033
3054.23546,99.039
3052.19522,99.032
3050.15498,99.03
3048.11474,99.042
3046.07451,99.05
3044.03427,99.047
3041.99403,99.043
3039.95379,99.04
3037.91356,99.047
3035.87332,99.065
3033.83308,99.07
3031.79285,99.053
3029.75261,99.042
3027.71237,99.059
3025.67213,99.091
3023.6319,99.115
3021.59166,99.115
3019.55142,99.096
3017.51118,99.08
3015.47095,99.074
3013.43071,99.075
3011.39047,99.093
3009.35023,99.111
3007.31,99.11
3005.26976,99.11
3003.22952,99.11
3001.18928,99.103
2999.14905,99.107
2997.10881,99.105
2995.06857,99.09
2993.02833,99.078
2990.9881,99.074
2988.94786,99.08
2986.90762,99.089
2984.86738,99.099
2982.82715,99.103
2980.78691,99.092
2978.74667,99.073
2976.70643,99.058
2974.6662,99.033
2972.62596,98.98
2970.58572,98.914
2968.54548,98.856
2966.50525,98.786
2964.46501,98.689
2962.42477,98.579
2960.38453,98.481
2958.3443,98.407
2956.30406,98.35
2954.26382,98.29
2952.22358,98.211
2950.18335,98.121
2948.14311,98.083
2946.10287,98.139
2944.06264,98.259
2942.0224,98.399
2939.98216,98.513
2937.94192,98.572
2935.90169,98.598
2933.86145,98.609
2931.82121,98.582
2929.78097,98.514
2927.74074,98.422
2925.7005,98.309
2923.66026,98.187
2921.62002,98.067
2919.57979,97.938
2917.53955,97.83
2915.49931,97.783
2913.45907,97.777
2911.41884,97.801
2909.3786,97.842
2907.33836,97.89
2905.29812,97.928
2903.25789,97.944
2901.21765,97.963
2899.17741,98.016
2897.13717,98.085
2895.09694,98.156
2893.0567,98.226
2891.01646,98.28
2888.97622,98.301
2886.93599,98.301
2884.89575,98.294
2882.85551,98.281
2880.81527,98.259
2878.77504,98.221
2876.7348,98.19
2874.69456,98.188
2872.65432,98.19
2870.61409,98.181
2868.57385,98.179
2866.53361,98.181
2864.49337,98.185
2862.45314,98.221
2860.4129,98.298
2858.37266,98.385
2856.33242,98.451
2854.29219,98.495
2852.25195,98.522
2850.21171,98.528
2848.17148,98.503
2846.13124,98.441
2844.091,98.364
2842.05076,98.282
2840.01053,98.194
2837.97029,98.126
2835.93005,98.101
