TITLE SAMPLE NAME:,PP_GREEN_LID_UPMA
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.587
LASTX:,599.82981
LASTY:,94.138
NPOINTS:,1681
3401.07582,97.420
3399.03559,97.422
3396.99535,97.414
3394.95511,97.396
3392.91487,97.391
3390.87464,97.405
3388.8344,97.409
3386.79416,97.394
3384.75392,97.387
3382.71369,97.390
3380.67345,97.388
3378.63321,97.372
3376.59297,97.345
3374.55274,97.339
3372.5125,97.350
3370.47226,97.351
3368.43202,97.352
3366.39179,97.379
3364.35155,97.415
3362.31131,97.432
3360.27107,97.425
3358.23084,97.405
3356.1906,97.391
3354.15036,97.390
3352.11012,97.398
3350.06989,97.392
3348.02965,97.370
3345.98941,97.366
3343.94917,97.372
3341.90894,97.365
3339.8687,97.364
3337.82846,97.374
3335.78822,97.381
3333.74799,97.394
3331.70775,97.406
3329.66751,97.406
3327.62727,97.409
3325.58704,97.437
3323.5468,97.457
3321.50656,97.442
3319.46633,97.418
3317.42609,97.417
3315.38585,97.421
3313.34561,97.408
3311.30538,97.381
3309.26514,97.362
3307.2249,97.370
3305.18466,97.389
3303.14443,97.401
3301.10419,97.420
3299.06395,97.436
3297.02371,97.434
3294.98348,97.428
3292.94324,97.435
3290.903,97.452
3288.86276,97.457
3286.82253,97.440
3284.78229,97.411
3282.74205,97.390
3280.70181,97.386
3278.66158,97.389
3276.62134,97.401
3274.5811,97.428
3272.54086,97.439
3270.50063,97.428
3268.46039,97.432
3266.42015,97.447
3264.37991,97.444
3262.33968,97.430
3260.29944,97.433
3258.2592,97.455
3256.21896,97.454
3254.17873,97.420
3252.13849,97.398
3250.09825,97.415
3248.05801,97.443
3246.01778,97.464
3243.97754,97.475
3241.9373,97.471
3239.89706,97.449
3237.85683,97.426
3235.81659,97.412
3233.77635,97.404
3231.73611,97.405
3229.69588,97.418
3227.65564,97.432
3225.6154,97.431
3223.57517,97.415
3221.53493,97.406
3219.49469,97.432
3217.45445,97.464
3215.41422,97.462
3213.37398,97.456
3211.33374,97.469
3209.2935,97.472
3207.25327,97.457
3205.21303,97.452
3203.17279,97.463
3201.13255,97.479
3199.09232,97.488
3197.05208,97.476
3195.01184,97.447
3192.9716,97.422
3190.93137,97.429
3188.89113,97.465
3186.85089,97.477
3184.81065,97.466
3182.77042,97.469
3180.73018,97.478
3178.68994,97.483
3176.6497,97.486
3174.60947,97.480
3172.56923,97.480
3170.52899,97.503
3168.48875,97.521
3166.44852,97.504
3164.40828,97.473
3162.36804,97.460
3160.3278,97.478
3158.28757,97.512
3156.24733,97.530
3154.20709,97.524
3152.16685,97.524
3150.12662,97.532
3148.08638,97.529
3146.04614,97.518
3144.0059,97.511
3141.96567,97.513
3139.92543,97.525
3137.88519,97.529
3135.84495,97.510
3133.80472,97.491
3131.76448,97.491
3129.72424,97.504
3127.68401,97.522
3125.64377,97.547
3123.60353,97.566
3121.56329,97.559
3119.52306,97.546
3117.48282,97.542
3115.44258,97.549
3113.40234,97.566
3111.36211,97.569
3109.32187,97.554
3107.28163,97.552
3105.24139,97.568
3103.20116,97.578
3101.16092,97.588
3099.12068,97.598
3097.08044,97.591
3095.04021,97.578
3092.99997,97.564
3090.95973,97.545
3088.91949,97.534
3086.87926,97.542
3084.83902,97.560
3082.79878,97.578
3080.75854,97.590
3078.71831,97.591
3076.67807,97.591
3074.63783,97.597
3072.59759,97.600
3070.55736,97.600
3068.51712,97.597
3066.47688,97.599
3064.43664,97.613
3062.39641,97.626
3060.35617,97.628
3058.31593,97.631
3056.27569,97.644
3054.23546,97.656
3052.19522,97.656
3050.15498,97.653
3048.11474,97.665
3046.07451,97.685
3044.03427,97.691
3041.99403,97.677
3039.95379,97.658
3037.91356,97.652
3035.87332,97.663
3033.83308,97.693
3031.79285,97.718
3029.75261,97.715
3027.71237,97.700
3025.67213,97.699
3023.6319,97.721
3021.59166,97.744
3019.55142,97.739
3017.51118,97.725
3015.47095,97.729
3013.43071,97.745
3011.39047,97.775
3009.35023,97.798
3007.31,97.801
3005.26976,97.807
3003.22952,97.813
3001.18928,97.812
2999.14905,97.819
2997.10881,97.815
2995.06857,97.797
2993.02833,97.788
2990.9881,97.785
2988.94786,97.771
2986.90762,97.753
2984.86738,97.732
2982.82715,97.691
2980.78691,97.636
2978.74667,97.571
2976.70643,97.466
2974.6662,97.308
2972.62596,97.103
2970.58572,96.839
2968.54548,96.493
2966.50525,96.060
2964.46501,95.566
2962.42477,95.087
2960.38453,94.704
2958.3443,94.434
2956.30406,94.221
2954.26382,93.981
2952.22358,93.677
2950.18335,93.403
2948.14311,93.358
2946.10287,93.643
2944.06264,94.128
2942.0224,94.610
2939.98216,94.946
2937.94192,95.066
2935.90169,94.994
2933.86145,94.769
2931.82121,94.390
2929.78097,93.890
2927.74074,93.325
2925.7005,92.728
2923.66026,92.138
2921.62002,91.577
2919.57979,91.064
2917.53955,90.697
2915.49931,90.602
2913.45907,90.773
2911.41884,91.086
2909.3786,91.424
2907.33836,91.731
2905.29812,92.008
2903.25789,92.278
2901.21765,92.563
2899.17741,92.854
2897.13717,93.125
2895.09694,93.365
2893.0567,93.590
2891.01646,93.797
2888.97622,93.941
2886.93599,94.012
2884.89575,94.044
2882.85551,94.045
2880.81527,93.993
2878.77504,93.903
2876.7348,93.840
2874.69456,93.848
2872.65432,93.879
2870.61409,93.847
2868.57385,93.750
2866.53361,93.692
2864.49337,93.763
2862.45314,93.978
2860.4129,94.265
2858.37266,94.476
2856.33242,94.506
2854.29219,94.377
2852.25195,94.179
2850.21171,94.010
2848.17148,93.946
2846.13124,93.950
2844.091,93.904
2842.05076,93.775
2840.01053,93.602
