TITLE SAMPLE NAME:,PET_ZEPTO_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99
LASTX:,599.82981
LASTY:,99.064
NPOINTS:,1681
3250.09825,99.45
3248.05801,99.438
3246.01778,99.424
3243.97754,99.414
3241.9373,99.412
3239.89706,99.411
3237.85683,99.396
3235.81659,99.359
3233.77635,99.335
3231.73611,99.356
3229.69588,99.387
3227.65564,99.389
3225.6154,99.385
3223.57517,99.398
3221.53493,99.415
3219.49469,99.41
3217.45445,99.379
3215.41422,99.36
3213.37398,99.363
3211.33374,99.373
3209.2935,99.391
3207.25327,99.396
3205.21303,99.374
3203.17279,99.339
3201.13255,99.321
3199.09232,99.329
3197.05208,99.345
3195.01184,99.354
3192.9716,99.352
3190.93137,99.335
3188.89113,99.327
3186.85089,99.334
3184.81065,99.337
3182.77042,99.327
3180.73018,99.33
3178.68994,99.355
3176.6497,99.368
3174.60947,99.366
3172.56923,99.375
3170.52899,99.378
3168.48875,99.356
3166.44852,99.332
3164.40828,99.327
3162.36804,99.336
3160.3278,99.348
3158.28757,99.345
3156.24733,99.318
3154.20709,99.296
3152.16685,99.296
3150.12662,99.304
3148.08638,99.305
3146.04614,99.297
3144.0059,99.281
3141.96567,99.261
3139.92543,99.257
3137.88519,99.274
3135.84495,99.3
3133.80472,99.319
3131.76448,99.321
3129.72424,99.312
3127.68401,99.283
3125.64377,99.249
3123.60353,99.246
3121.56329,99.257
3119.52306,99.255
3117.48282,99.241
3115.44258,99.221
3113.40234,99.221
3111.36211,99.246
3109.32187,99.257
3107.28163,99.246
3105.24139,99.236
3103.20116,99.228
3101.16092,99.222
3099.12068,99.228
3097.08044,99.256
3095.04021,99.276
3092.99997,99.262
3090.95973,99.225
3088.91949,99.2
3086.87926,99.204
3084.83902,99.205
3082.79878,99.201
3080.75854,99.211
3078.71831,99.219
3076.67807,99.215
3074.63783,99.202
3072.59759,99.189
3070.55736,99.174
3068.51712,99.163
3066.47688,99.169
3064.43664,99.183
3062.39641,99.185
3060.35617,99.174
3058.31593,99.171
3056.27569,99.186
3054.23546,99.198
3052.19522,99.203
3050.15498,99.201
3048.11474,99.193
3046.07451,99.184
3044.03427,99.178
3041.99403,99.174
3039.95379,99.169
3037.91356,99.164
3035.87332,99.162
3033.83308,99.164
3031.79285,99.163
3029.75261,99.169
3027.71237,99.195
3025.67213,99.204
3023.6319,99.176
3021.59166,99.145
3019.55142,99.135
3017.51118,99.137
3015.47095,99.121
3013.43071,99.094
3011.39047,99.089
3009.35023,99.106
3007.31,99.118
3005.26976,99.12
3003.22952,99.113
3001.18928,99.098
2999.14905,99.088
2997.10881,99.084
2995.06857,99.078
2993.02833,99.076
2990.9881,99.069
2988.94786,99.067
2986.90762,99.084
2984.86738,99.101
2982.82715,99.088
2980.78691,99.049
2978.74667,99.017
2976.70643,98.997
2974.6662,98.977
2972.62596,98.963
2970.58572,98.951
2968.54548,98.935
2966.50525,98.925
2964.46501,98.927
2962.42477,98.925
2960.38453,98.916
2958.3443,98.924
2956.30406,98.945
2954.26382,98.959
2952.22358,98.962
2950.18335,98.955
2948.14311,98.949
2946.10287,98.954
2944.06264,98.962
2942.0224,98.96
2939.98216,98.954
2937.94192,98.961
2935.90169,98.966
2933.86145,98.947
2931.82121,98.931
2929.78097,98.939
2927.74074,98.943
2925.7005,98.938
2923.66026,98.929
2921.62002,98.912
2919.57979,98.908
2917.53955,98.932
2915.49931,98.966
2913.45907,98.994
2911.41884,99.002
2909.3786,98.987
2907.33836,98.982
2905.29812,98.994
2903.25789,98.998
2901.21765,99.006
2899.17741,99.035
2897.13717,99.058
2895.09694,99.07
2893.0567,99.093
2891.01646,99.103
2888.97622,99.087
2886.93599,99.074
2884.89575,99.088
2882.85551,99.106
2880.81527,99.096
2878.77504,99.079
2876.7348,99.076
2874.69456,99.076
2872.65432,99.065
2870.61409,99.051
2868.57385,99.055
2866.53361,99.074
2864.49337,99.084
2862.45314,99.077
2860.4129,99.068
2858.37266,99.075
2856.33242,99.086
2854.29219,99.068
2852.25195,99.033
2850.21171,99.033
2848.17148,99.067
2846.13124,99.09
2844.091,99.095
2842.05076,99.107
2840.01053,99.134
2837.97029,99.157
