TITLE SAMPLE NAME:,PET_PAPERBOAT
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.149
LASTX:,599.82981
LASTY:,99.324
NPOINTS:,1681
3280.70181,99.652
3278.66158,99.66
3276.62134,99.648
3274.5811,99.643
3272.54086,99.649
3270.50063,99.654
3268.46039,99.654
3266.42015,99.657
3264.37991,99.655
3262.33968,99.639
3260.29944,99.621
3258.2592,99.611
3256.21896,99.605
3254.17873,99.607
3252.13849,99.632
3250.09825,99.658
3248.05801,99.639
3246.01778,99.581
3243.97754,99.554
3241.9373,99.576
3239.89706,99.589
3237.85683,99.565
3235.81659,99.527
3233.77635,99.51
3231.73611,99.523
3229.69588,99.547
3227.65564,99.559
3225.6154,99.56
3223.57517,99.556
3221.53493,99.561
3219.49469,99.578
3217.45445,99.579
3215.41422,99.545
3213.37398,99.521
3211.33374,99.524
3209.2935,99.539
3207.25327,99.557
3205.21303,99.554
3203.17279,99.528
3201.13255,99.503
3199.09232,99.497
3197.05208,99.531
3195.01184,99.574
3192.9716,99.574
3190.93137,99.553
3188.89113,99.535
3186.85089,99.515
3184.81065,99.501
3182.77042,99.497
3180.73018,99.491
3178.68994,99.476
3176.6497,99.468
3174.60947,99.467
3172.56923,99.471
3170.52899,99.47
3168.48875,99.455
3166.44852,99.45
3164.40828,99.462
3162.36804,99.468
3160.3278,99.474
3158.28757,99.49
3156.24733,99.496
3154.20709,99.494
3152.16685,99.496
3150.12662,99.491
3148.08638,99.464
3146.04614,99.422
3144.0059,99.388
3141.96567,99.391
3139.92543,99.416
3137.88519,99.433
3135.84495,99.436
3133.80472,99.436
3131.76448,99.446
3129.72424,99.446
3127.68401,99.418
3125.64377,99.394
3123.60353,99.389
3121.56329,99.397
3119.52306,99.403
