TITLE SAMPLE NAME:,HDPE_NO_SOAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.45
LASTX:,599.82981
LASTY:,98.269
NPOINTS:,1681
3248.05801,98.808
3246.01778,98.773
3243.97754,98.76
3241.9373,98.793
3239.89706,98.82
3237.85683,98.796
3235.81659,98.743
3233.77635,98.707
3231.73611,98.715
3229.69588,98.751
3227.65564,98.776
3225.6154,98.783
3223.57517,98.777
3221.53493,98.76
3219.49469,98.752
3217.45445,98.751
3215.41422,98.744
3213.37398,98.738
3211.33374,98.746
3209.2935,98.774
3207.25327,98.794
3205.21303,98.772
3203.17279,98.733
3201.13255,98.716
3199.09232,98.715
3197.05208,98.73
3195.01184,98.755
3192.9716,98.758
3190.93137,98.742
3188.89113,98.738
3186.85089,98.745
3184.81065,98.744
3182.77042,98.731
3180.73018,98.718
3178.68994,98.711
3176.6497,98.711
3174.60947,98.723
3172.56923,98.741
3170.52899,98.742
3168.48875,98.721
3166.44852,98.71
3164.40828,98.721
3162.36804,98.725
3160.3278,98.709
3158.28757,98.695
3156.24733,98.702
3154.20709,98.721
3152.16685,98.733
3150.12662,98.729
3148.08638,98.709
3146.04614,98.689
3144.0059,98.682
3141.96567,98.68
3139.92543,98.683
3137.88519,98.696
3135.84495,98.707
3133.80472,98.717
3131.76448,98.735
3129.72424,98.74
3127.68401,98.707
3125.64377,98.676
3123.60353,98.688
3121.56329,98.711
3119.52306,98.706
3117.48282,98.671
3115.44258,98.642
3113.40234,98.652
3111.36211,98.684
3109.32187,98.697
3107.28163,98.689
3105.24139,98.674
3103.20116,98.664
3101.16092,98.668
3099.12068,98.682
3097.08044,98.698
3095.04021,98.716
3092.99997,98.722
3090.95973,98.705
3088.91949,98.686
3086.87926,98.685
3084.83902,98.7
3082.79878,98.715
3080.75854,98.72
3078.71831,98.708
3076.67807,98.685
3074.63783,98.666
3072.59759,98.67
3070.55736,98.689
3068.51712,98.688
3066.47688,98.661
3064.43664,98.643
3062.39641,98.654
3060.35617,98.672
3058.31593,98.679
3056.27569,98.688
3054.23546,98.713
3052.19522,98.73
3050.15498,98.724
3048.11474,98.714
3046.07451,98.702
3044.03427,98.68
3041.99403,98.663
3039.95379,98.668
3037.91356,98.681
3035.87332,98.695
3033.83308,98.705
3031.79285,98.697
3029.75261,98.692
3027.71237,98.706
3025.67213,98.717
3023.6319,98.712
3021.59166,98.693
3019.55142,98.671
3017.51118,98.661
3015.47095,98.656
3013.43071,98.641
3011.39047,98.633
3009.35023,98.652
3007.31,98.68
3005.26976,98.69
3003.22952,98.695
3001.18928,98.71
2999.14905,98.726
2997.10881,98.741
2995.06857,98.755
2993.02833,98.748
2990.9881,98.726
2988.94786,98.717
2986.90762,98.732
2984.86738,98.741
2982.82715,98.726
2980.78691,98.702
2978.74667,98.689
2976.70643,98.685
2974.6662,98.674
2972.62596,98.661
2970.58572,98.654
2968.54548,98.642
2966.50525,98.616
2964.46501,98.591
2962.42477,98.563
2960.38453,98.524
2958.3443,98.515
2956.30406,98.539
2954.26382,98.564
2952.22358,98.583
2950.18335,98.584
2948.14311,98.572
2946.10287,98.576
2944.06264,98.587
2942.0224,98.561
2939.98216,98.493
2937.94192,98.405
2935.90169,98.289
2933.86145,98.14
2931.82121,97.974
2929.78097,97.777
2927.74074,97.539
2925.7005,97.258
2923.66026,96.919
2921.62002,96.515
2919.57979,96.068
2917.53955,95.64
2915.49931,95.312
2913.45907,95.154
2911.41884,95.185
2909.3786,95.356
2907.33836,95.613
2905.29812,95.875
2903.25789,96.066
2901.21765,96.216
2899.17741,96.362
2897.13717,96.474
2895.09694,96.568
2893.0567,96.679
2891.01646,96.787
2888.97622,96.887
2886.93599,96.988
2884.89575,97.087
2882.85551,97.174
2880.81527,97.254
2878.77504,97.355
2876.7348,97.472
2874.69456,97.582
2872.65432,97.685
2870.61409,97.781
2868.57385,97.861
2866.53361,97.923
2864.49337,97.964
2862.45314,97.972
2860.4129,97.921
2858.37266,97.803
2856.33242,97.606
2854.29219,97.256
2852.25195,96.715
2850.21171,96.081
2848.17148,95.567
2846.13124,95.337
2844.091,95.378
2842.05076,95.588
2840.01053,95.885
2837.97029,96.19
