TITLE SAMPLE NAME:,HDPE_BODYWASH
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.920
LASTX:,599.82981
LASTY:,98.866
NPOINTS:,1681
3419.43796,99.205
3417.39772,99.236
3415.35749,99.235
3413.31725,99.230
3411.27701,99.213
3409.23677,99.191
3407.19654,99.200
3405.15630,99.233
3403.11606,99.246
3401.07582,99.242
3399.03559,99.231
3396.99535,99.233
3394.95511,99.236
3392.91487,99.236
3390.87464,99.267
3388.83440,99.299
3386.79416,99.294
3384.75392,99.273
3382.71369,99.261
3380.67345,99.256
3378.63321,99.269
3376.59297,99.304
3374.55274,99.334
3372.51250,99.351
3370.47226,99.357
3368.43202,99.345
3366.39179,99.322
3364.35155,99.305
3362.31131,99.303
3360.27107,99.328
3358.23084,99.360
3356.19060,99.374
3354.15036,99.373
3352.11012,99.353
3350.06989,99.325
3348.02965,99.325
3345.98941,99.349
3343.94917,99.355
3341.90894,99.350
3339.86870,99.365
3337.82846,99.387
3335.78822,99.389
3333.74799,99.378
3331.70775,99.379
3329.66751,99.388
3327.62727,99.384
3325.58704,99.373
3323.54680,99.364
3321.50656,99.358
3319.46633,99.359
3317.42609,99.357
3315.38585,99.356
3313.34561,99.375
3311.30538,99.390
3309.26514,99.387
3307.22490,99.397
3305.18466,99.396
3303.14443,99.363
3301.10419,99.339
3299.06395,99.332
3297.02371,99.327
3294.98348,99.337
3292.94324,99.361
3290.90300,99.382
3288.86276,99.393
3286.82253,99.385
3284.78229,99.363
3282.74205,99.361
3280.70181,99.396
3278.66158,99.418
3276.62134,99.400
3274.58110,99.382
3272.54086,99.397
3270.50063,99.415
3268.46039,99.400
3266.42015,99.377
3264.37991,99.372
3262.33968,99.376
3260.29944,99.382
3258.25920,99.384
3256.21896,99.362
3254.17873,99.329
3252.13849,99.323
3250.09825,99.327
3248.05801,99.314
3246.01778,99.283
3243.97754,99.267
3241.93730,99.285
3239.89706,99.304
3237.85683,99.285
3235.81659,99.250
3233.77635,99.256
3231.73611,99.296
3229.69588,99.311
3227.65564,99.291
3225.61540,99.274
3223.57517,99.274
3221.53493,99.286
3219.49469,99.306
3217.45445,99.308
3215.41422,99.271
