TITLE SAMPLE NAME:,HDPE_COKE_CAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
2835.93005,94.745
2833.88981,95.131
2831.84958,95.46
2829.80934,95.738
2827.7691,95.956
2825.72886,96.133
2823.68863,96.279
2821.64839,96.41
2819.60815,96.532
2817.56791,96.636
2815.52768,96.724
2813.48744,96.796
2811.4472,96.85
2809.40696,96.911
2807.36673,96.981
2805.32649,97.033
2803.28625,97.076
2801.24601,97.117
2799.20578,97.145
2797.16554,97.169
2795.1253,97.199
2793.08506,97.222
2791.04483,97.239
2789.00459,97.267
2786.96435,97.302
2784.92411,97.334
2782.88388,97.368
2780.84364,97.406
2778.8034,97.427
2776.76316,97.428
2774.72293,97.437
2772.68269,97.455
2770.64245,97.472
2768.60221,97.501
2766.56198,97.526
2764.52174,97.525
2762.4815,97.519
2760.44126,97.532
2758.40103,97.559
2756.36079,97.586
2754.32055,97.609
2752.28032,97.62
2750.24008,97.612
2748.19984,97.601
2746.1596,97.603
2744.11937,97.614
2742.07913,97.621
2740.03889,97.614
2737.99865,97.615
2735.95842,97.646
2733.91818,97.682
2731.87794,97.697
2729.8377,97.693
2727.79747,97.674
2725.75723,97.66
2723.71699,97.68
2721.67675,97.72
2719.63652,97.74
2717.59628,97.733
2715.55604,97.713
2713.5158,97.697
2711.47557,97.699
2709.43533,97.716
2707.39509,97.732
2705.35485,97.741
2703.31462,97.742
2701.27438,97.745
2699.23414,97.759
2697.1939,97.773
2695.15367,97.775
2693.11343,97.775
2691.07319,97.779
2689.03295,97.785
2686.99272,97.784
2684.95248,97.77
2682.91224,97.753
2680.872,97.745
2678.83177,97.743
2676.79153,97.746
2674.75129,97.757
2672.71105,97.766
2670.67082,97.771
2668.63058,97.786
2666.59034,97.79
2664.5501,97.774
2662.50987,97.772
2660.46963,97.786
2658.42939,97.79
2656.38916,97.782
2654.34892,97.767
2652.30868,97.757
2650.26844,97.769
2648.22821,97.791
2646.18797,97.803
2644.14773,97.813
2642.10749,97.814
2640.06726,97.787
2638.02702,97.756
2635.98678,97.746
2633.94654,97.76
2631.90631,97.783
2629.86607,97.803
2627.82583,97.814
2625.78559,97.809
2623.74536,97.794
2621.70512,97.788
2619.66488,97.805
2617.62464,97.821
2615.58441,97.809
2613.54417,97.797
2611.50393,97.808
2609.46369,97.814
2607.42346,97.81
2605.38322,97.814
2603.34298,97.815
2601.30274,97.814
2599.26251,97.821
2597.22227,97.822
2595.18203,97.816
2593.14179,97.816
2591.10156,97.825
2589.06132,97.84
2587.02108,97.841
2584.98084,97.829
2582.94061,97.822
2580.90037,97.825
2578.86013,97.842
2576.81989,97.855
2574.77966,97.843
2572.73942,97.834
2570.69918,97.839
2568.65894,97.841
2566.61871,97.839
2564.57847,97.834
2562.53823,97.833
2560.498,97.843
2558.45776,97.853
2556.41752,97.854
2554.37728,97.845
2552.33705,97.838
2550.29681,97.835
2548.25657,97.825
2546.21633,97.816
2544.1761,97.819
2542.13586,97.831
2540.09562,97.837
2538.05538,97.829
2536.01515,97.827
2533.97491,97.837
2531.93467,97.849
2529.89443,97.86
2527.8542,97.868
2525.81396,97.874
2523.77372,97.879
2521.73348,97.878
2519.69325,97.881
2517.65301,97.891
2515.61277,97.882
2513.57253,97.861
2511.5323,97.858
2509.49206,97.857
2507.45182,97.838
2505.41158,97.824
2503.37135,97.834
2501.33111,97.857
2499.29087,97.864
2497.25063,97.852
2495.2104,97.854
2493.17016,97.878
2491.12992,97.89
2489.08968,97.881
2487.04945,97.874
2485.00921,97.879
2482.96897,97.883
2480.92873,97.878
2478.8885,97.875
2476.84826,97.873
2474.80802,97.856
2472.76778,97.837
2470.72755,97.841
2468.68731,97.859
2466.64707,97.865
2464.60684,97.859
2462.5666,97.861
2460.52636,97.872
2458.48612,97.877
2456.44589,97.875
2454.40565,97.866
2452.36541,97.857
2450.32517,97.852
2448.28494,97.845
2446.2447,97.847
2444.20446,97.868
2442.16422,97.88
2440.12399,97.88
2438.08375,97.885
2436.04351,97.888
2434.00327,97.89
2431.96304,97.885
2429.9228,97.864
2427.88256,97.844
2425.84232,97.848
2423.80209,97.866
2421.76185,97.868
2419.72161,97.852
2417.68137,97.848
2415.64114,97.864
2413.6009,97.88
2411.56066,97.882
2409.52042,97.873
2407.48019,97.853
2405.43995,97.839
2403.39971,97.845
2401.35947,97.854
2399.31924,97.853
2397.279,97.856
2395.23876,97.861
2393.19852,97.856
2391.15829,97.845
2389.11805,97.849
2387.07781,97.864
2385.03757,97.866
2382.99734,97.847
2380.9571,97.823
2378.91686,97.806
2376.87662,97.801
2374.83639,97.813
2372.79615,97.847
2370.75591,97.893
2368.71568,97.934
2366.67544,97.968
2364.6352,97.986
2362.59496,97.98
2360.55473,97.969
2358.51449,97.944
2356.47425,97.886
2354.43401,97.845
2352.39378,97.889
2350.35354,97.97
2348.3133,97.971
2346.27306,97.883
2344.23283,97.83
2342.19259,97.88
2340.15235,97.96
2338.11211,97.995
2336.07188,97.984
2334.03164,97.939
2331.9914,97.873
2329.95116,97.831
2327.91093,97.837
2325.87069,97.857
2323.83045,97.843
2321.79021,97.786
2319.74998,97.727
2317.70974,97.708
2315.6695,97.717
2313.62926,97.716
2311.58903,97.702
2309.54879,97.699
2307.50855,97.722
2305.46831,97.757
2303.42808,97.793
2301.38784,97.821
2299.3476,97.83
