TITLE SAMPLE NAME:,PP_BOX_BLACK
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.613
LASTX:,599.82981
LASTY:,98.846
NPOINTS:,1681
2833.88981,97.565
2831.84958,97.679
2829.80934,97.8
2827.7691,97.896
2825.72886,97.966
2823.68863,98.008
2821.64839,98.056
2819.60815,98.119
2817.56791,98.158
2815.52768,98.172
2813.48744,98.191
2811.4472,98.224
2809.40696,98.255
2807.36673,98.275
2805.32649,98.284
2803.28625,98.281
2801.24601,98.28
2799.20578,98.293
2797.16554,98.302
2795.1253,98.301
2793.08506,98.301
2791.04483,98.31
2789.00459,98.339
2786.96435,98.369
2784.92411,98.376
2782.88388,98.378
2780.84364,98.392
2778.8034,98.399
2776.76316,98.393
2774.72293,98.4
2772.68269,98.415
2770.64245,98.418
2768.60221,98.424
2766.56198,98.44
2764.52174,98.447
2762.4815,98.441
2760.44126,98.433
2758.40103,98.434
2756.36079,98.443
2754.32055,98.456
2752.28032,98.459
2750.24008,98.455
2748.19984,98.461
2746.1596,98.474
2744.11937,98.486
2742.07913,98.489
2740.03889,98.474
2737.99865,98.455
2735.95842,98.455
2733.91818,98.468
2731.87794,98.485
2729.8377,98.489
2727.79747,98.467
2725.75723,98.447
2723.71699,98.453
2721.67675,98.472
2719.63652,98.477
2717.59628,98.467
2715.55604,98.449
2713.5158,98.434
2711.47557,98.436
2709.43533,98.446
2707.39509,98.452
2705.35485,98.459
2703.31462,98.47
2701.27438,98.484
2699.23414,98.496
2697.1939,98.515
2695.15367,98.527
2693.11343,98.511
2691.07319,98.501
2689.03295,98.519
2686.99272,98.516
2684.95248,98.48
2682.91224,98.462
2680.872,98.479
2678.83177,98.498
2676.79153,98.506
2674.75129,98.514
2672.71105,98.511
2670.67082,98.496
2668.63058,98.493
2666.59034,98.499
2664.5501,98.496
2662.50987,98.492
2660.46963,98.496
2658.42939,98.503
2656.38916,98.503
2654.34892,98.49
2652.30868,98.471
2650.26844,98.475
2648.22821,98.494
2646.18797,98.501
2644.14773,98.506
2642.10749,98.512
2640.06726,98.505
2638.02702,98.488
2635.98678,98.477
2633.94654,98.475
2631.90631,98.489
2629.86607,98.527
2627.82583,98.559
2625.78559,98.547
2623.74536,98.515
2621.70512,98.508
2619.66488,98.519
2617.62464,98.514
2615.58441,98.494
2613.54417,98.483
2611.50393,98.487
2609.46369,98.502
2607.42346,98.518
2605.38322,98.52
2603.34298,98.512
2601.30274,98.509
2599.26251,98.509
2597.22227,98.504
2595.18203,98.507
2593.14179,98.513
2591.10156,98.508
2589.06132,98.506
2587.02108,98.515
2584.98084,98.519
2582.94061,98.519
2580.90037,98.519
2578.86013,98.516
2576.81989,98.505
2574.77966,98.488
2572.73942,98.481
2570.69918,98.491
2568.65894,98.505
2566.61871,98.518
2564.57847,98.533
2562.53823,98.543
2560.498,98.538
2558.45776,98.532
2556.41752,98.536
2554.37728,98.533
2552.33705,98.517
2550.29681,98.51
2548.25657,98.512
2546.21633,98.508
2544.1761,98.501
2542.13586,98.508
2540.09562,98.516
2538.05538,98.508
2536.01515,98.498
2533.97491,98.495
2531.93467,98.5
2529.89443,98.509
2527.8542,98.505
2525.81396,98.489
2523.77372,98.486
2521.73348,98.51
2519.69325,98.539
2517.65301,98.539
2515.61277,98.512
2513.57253,98.494
2511.5323,98.499
2509.49206,98.508
2507.45182,98.509
2505.41158,98.507
2503.37135,98.515
2501.33111,98.53
2499.29087,98.535
2497.25063,98.533
2495.2104,98.539
2493.17016,98.542
2491.12992,98.523
2489.08968,98.496
2487.04945,98.49
2485.00921,98.498
2482.96897,98.499
2480.92873,98.493
2478.8885,98.495
2476.84826,98.509
2474.80802,98.521
2472.76778,98.516
2470.72755,98.504
2468.68731,98.512
2466.64707,98.525
2464.60684,98.523
2462.5666,98.526
2460.52636,98.534
2458.48612,98.532
2456.44589,98.526
2454.40565,98.521
2452.36541,98.519
2450.32517,98.523
2448.28494,98.523
2446.2447,98.523
2444.20446,98.533
2442.16422,98.544
2440.12399,98.551
2438.08375,98.552
2436.04351,98.546
2434.00327,98.537
2431.96304,98.52
2429.9228,98.503
2427.88256,98.498
2425.84232,98.507
2423.80209,98.523
2421.76185,98.523
2419.72161,98.505
2417.68137,98.499
2415.64114,98.512
2413.6009,98.521
2411.56066,98.521
2409.52042,98.519
2407.48019,98.517
2405.43995,98.515
2403.39971,98.511
2401.35947,98.507
2399.31924,98.504
2397.279,98.506
2395.23876,98.509
2393.19852,98.497
2391.15829,98.477
2389.11805,98.475
2387.07781,98.492
2385.03757,98.501
2382.99734,98.485
2380.9571,98.45
2378.91686,98.416
2376.87662,98.397
2374.83639,98.409
2372.79615,98.453
2370.75591,98.508
2368.71568,98.554
2366.67544,98.591
2364.6352,98.615
2362.59496,98.614
2360.55473,98.599
2358.51449,98.57
2356.47425,98.514
2354.43401,98.491
2352.39378,98.556
2350.35354,98.638
2348.3133,98.631
2346.27306,98.542
2344.23283,98.486
2342.19259,98.523
2340.15235,98.596
2338.11211,98.662
2336.07188,98.703
2334.03164,98.675
2331.9914,98.579
2329.95116,98.492
2327.91093,98.471
2325.87069,98.497
2323.83045,98.501
2321.79021,98.445
2319.74998,98.374
2317.70974,98.354
2315.6695,98.374
2313.62926,98.382
2311.58903,98.364
2309.54879,98.348
2307.50855,98.357
2305.46831,98.39
2303.42808,98.425
2301.38784,98.449
2299.3476,98.467
2297.30736,98.484
