TITLE SAMPLE NAME:,HDPE_BOOMER
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.143
LASTX:,599.82981
LASTY:,95.752
NPOINTS:,1681
3031.79285,98.379
3029.75261,98.373
3027.71237,98.391
3025.67213,98.401
3023.6319,98.394
3021.59166,98.39
3019.55142,98.399
3017.51118,98.41
3015.47095,98.409
3013.43071,98.395
3011.39047,98.395
3009.35023,98.42
3007.31,98.427
3005.26976,98.412
3003.22952,98.417
3001.18928,98.441
2999.14905,98.455
2997.10881,98.459
2995.06857,98.451
2993.02833,98.431
2990.9881,98.41
2988.94786,98.406
2986.90762,98.431
2984.86738,98.464
2982.82715,98.469
2980.78691,98.445
2978.74667,98.426
2976.70643,98.422
2974.6662,98.409
2972.62596,98.396
2970.58572,98.39
2968.54548,98.381
2966.50525,98.364
2964.46501,98.35
2962.42477,98.335
2960.38453,98.308
2958.3443,98.296
2956.30406,98.322
2954.26382,98.351
2952.22358,98.35
2950.18335,98.323
2948.14311,98.28
2946.10287,98.232
2944.06264,98.176
2942.0224,98.096
2939.98216,97.984
2937.94192,97.829
2935.90169,97.607
2933.86145,97.321
2931.82121,97.01
2929.78097,96.661
2927.74074,96.217
2925.7005,95.66
2923.66026,94.981
2921.62002,94.164
2919.57979,93.268
2917.53955,92.431
2915.49931,91.801
2913.45907,91.504
2911.41884,91.556
2909.3786,91.861
2907.33836,92.294
2905.29812,92.736
2903.25789,93.1
2901.21765,93.389
2899.17741,93.655
2897.13717,93.89
2895.09694,94.083
2893.0567,94.272
2891.01646,94.468
2888.97622,94.669
2886.93599,94.883
2884.89575,95.115
2882.85551,95.352
2880.81527,95.577
2878.77504,95.802
2876.7348,96.036
2874.69456,96.271
2872.65432,96.485
2870.61409,96.657
2868.57385,96.802
2866.53361,96.939
2864.49337,97.027
2862.45314,97.018
2860.4129,96.898
2858.37266,96.643
2856.33242,96.177
2854.29219,95.409
2852.25195,94.345
2850.21171,93.146
2848.17148,92.16
2846.13124,91.706
2844.091,91.782
2842.05076,92.177
2840.01053,92.712
2837.97029,93.28
2835.93005,93.811
