TITLE SAMPLE NAME:,PET_LIPTON
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.235
LASTX:,599.82981
LASTY:,99.164
NPOINTS:,1681
3594.89838,99.11
3592.85814,99.015
3590.81791,98.969
3588.77767,99.077
3586.73743,99.098
3584.69719,99.008
3582.65696,99.039
3580.61672,99.136
3578.57648,99.186
3576.53624,99.206
3574.49601,99.193
3572.45577,99.121
3570.41553,99.098
3568.37529,99.174
3566.33506,99.139
3564.29482,99.021
3562.25458,99.055
3560.21434,99.169
3558.17411,99.229
3556.13387,99.251
3554.09363,99.269
3552.05339,99.233
3550.01316,99.16
3547.97292,99.164
3545.93268,99.202
3543.89244,99.198
3541.85221,99.214
3539.81197,99.27
3537.77173,99.314
3535.73149,99.284
3533.69126,99.212
3531.65102,99.193
3529.61078,99.218
3527.57054,99.22
3525.53031,99.214
3523.49007,99.231
3521.44983,99.238
3519.40959,99.25
3517.36936,99.267
3515.32912,99.255
3513.28888,99.238
3511.24865,99.257
3509.20841,99.269
3507.16817,99.244
3505.12793,99.265
3503.0877,99.293
3501.04746,99.262
3499.00722,99.261
3496.96698,99.315
3494.92675,99.358
3492.88651,99.364
3490.84627,99.349
3488.80603,99.34
3486.7658,99.341
3484.72556,99.357
3482.68532,99.382
3480.64508,99.369
3478.60485,99.348
3476.56461,99.349
3474.52437,99.343
3472.48413,99.35
3470.4439,99.393
3468.40366,99.436
3466.36342,99.443
3464.32318,99.441
3462.28295,99.451
3460.24271,99.455
3458.20247,99.466
3456.16223,99.49
3454.122,99.509
3452.08176,99.508
3450.04152,99.485
3448.00128,99.468
3445.96105,99.444
3443.92081,99.448
3441.88057,99.492
3439.84033,99.511
3437.8001,99.503
3435.75986,99.483
3433.71962,99.486
3431.67938,99.506
3429.63915,99.496
3427.59891,99.485
3425.55867,99.506
3423.51843,99.533
3421.4782,99.552
3419.43796,99.541
3417.39772,99.524
3415.35749,99.52
3413.31725,99.52
3411.27701,99.533
3409.23677,99.546
3407.19654,99.547
3405.1563,99.553
3403.11606,99.554
3401.07582,99.545
3399.03559,99.554
3396.99535,99.562
3394.95511,99.554
3392.91487,99.57
3390.87464,99.59
3388.8344,99.595
3386.79416,99.59
3384.75392,99.586
3382.71369,99.594
3380.67345,99.605
3378.63321,99.611
3376.59297,99.614
3374.55274,99.63
3372.5125,99.656
3370.47226,99.665
3368.43202,99.654
3366.39179,99.63
3364.35155,99.603
3362.31131,99.602
3360.27107,99.627
3358.23084,99.658
3356.1906,99.684
3354.15036,99.682
3352.11012,99.667
3350.06989,99.663
3348.02965,99.664
3345.98941,99.669
3343.94917,99.678
3341.90894,99.681
3339.8687,99.684
3337.82846,99.695
3335.78822,99.695
3333.74799,99.684
3331.70775,99.682
3329.66751,99.685
3327.62727,99.685
3325.58704,99.684
3323.5468,99.678
3321.50656,99.673
3319.46633,99.675
3317.42609,99.675
3315.38585,99.677
3313.34561,99.69
3311.30538,99.697
3309.26514,99.699
3307.2249,99.704
3305.18466,99.704
3303.14443,99.691
3301.10419,99.681
3299.06395,99.67
3297.02371,99.654
3294.98348,99.658
3292.94324,99.689
3290.903,99.71
3288.86276,99.707
3286.82253,99.691
3284.78229,99.67
3282.74205,99.675
3280.70181,99.705
3278.66158,99.72
3276.62134,99.717
3274.5811,99.706
3272.54086,99.694
3270.50063,99.698
3268.46039,99.706
3266.42015,99.703
3264.37991,99.701
3262.33968,99.69
3260.29944,99.668
3258.2592,99.661
3256.21896,99.662
3254.17873,99.656
3252.13849,99.659
3250.09825,99.675
3248.05801,99.668
3246.01778,99.634
3243.97754,99.601
3241.9373,99.602
3239.89706,99.633
3237.85683,99.636
3235.81659,99.591
3233.77635,99.557
3231.73611,99.573
3229.69588,99.604
3227.65564,99.606
3225.6154,99.595
3223.57517,99.602
3221.53493,99.622
3219.49469,99.624
3217.45445,99.595
3215.41422,99.567
3213.37398,99.554
3211.33374,99.552
3209.2935,99.565
3207.25327,99.584
3205.21303,99.592
3203.17279,99.572
3201.13255,99.545
3199.09232,99.531
3197.05208,99.535
3195.01184,99.562
3192.9716,99.586
3190.93137,99.577
3188.89113,99.553
3186.85089,99.534
3184.81065,99.521
3182.77042,99.51
3180.73018,99.509
3178.68994,99.519
3176.6497,99.515
3174.60947,99.503
3172.56923,99.502
3170.52899,99.503
3168.48875,99.49
3166.44852,99.475
3164.40828,99.475
3162.36804,99.485
3160.3278,99.489
3158.28757,99.483
3156.24733,99.481
3154.20709,99.491
3152.16685,99.501
3150.12662,99.49
3148.08638,99.452
3146.04614,99.418
3144.0059,99.413
3141.96567,99.424
3139.92543,99.44
3137.88519,99.456
3135.84495,99.469
3133.80472,99.472
3131.76448,99.462
3129.72424,99.45
3127.68401,99.44
3125.64377,99.433
3123.60353,99.436
3121.56329,99.433
3119.52306,99.416
3117.48282,99.393
3115.44258,99.371
3113.40234,99.379
3111.36211,99.422
3109.32187,99.458
3107.28163,99.467
3105.24139,99.456
3103.20116,99.438
3101.16092,99.422
3099.12068,99.41
3097.08044,99.414
3095.04021,99.424
3092.99997,99.425
3090.95973,99.416
3088.91949,99.408
3086.87926,99.425
3084.83902,99.435
3082.79878,99.413
3080.75854,99.391
3078.71831,99.389
3076.67807,99.4
3074.63783,99.412
3072.59759,99.41
3070.55736,99.389
3068.51712,99.362
3066.47688,99.349
3064.43664,99.355
3062.39641,99.365
3060.35617,99.365
3058.31593,99.367
3056.27569,99.382
3054.23546,99.393
3052.19522,99.393
3050.15498,99.378
3048.11474,99.366
3046.07451,99.364
3044.03427,99.36
3041.99403,99.355
3039.95379,99.36
3037.91356,99.362
3035.87332,99.36
3033.83308,99.362
3031.79285,99.354
3029.75261,99.338
3027.71237,99.344
3025.67213,99.359
3023.6319,99.343
3021.59166,99.314
3019.55142,99.307
3017.51118,99.314
3015.47095,99.306
3013.43071,99.283
3011.39047,99.278
3009.35023,99.291
3007.31,99.298
3005.26976,99.298
3003.22952,99.296
3001.18928,99.291
2999.14905,99.278
2997.10881,99.268
2995.06857,99.268
2993.02833,99.264
2990.9881,99.253
2988.94786,99.246
2986.90762,99.25
2984.86738,99.256
2982.82715,99.257
2980.78691,99.25
2978.74667,99.24
2976.70643,99.221
2974.6662,99.188
2972.62596,99.159
2970.58572,99.147
2968.54548,99.138
2966.50525,99.133
2964.46501,99.135
2962.42477,99.115
2960.38453,99.081
2958.3443,99.089
2956.30406,99.136
2954.26382,99.173
2952.22358,99.187
2950.18335,99.183
2948.14311,99.159
2946.10287,99.145
2944.06264,99.159
2942.0224,99.17
2939.98216,99.171
2937.94192,99.174
2935.90169,99.162
2933.86145,99.136
2931.82121,99.124
2929.78097,99.119
2927.74074,99.111
2925.7005,99.109
2923.66026,99.105
2921.62002,99.091
2919.57979,99.096
2917.53955,99.13
2915.49931,99.168
2913.45907,99.186
2911.41884,99.183
2909.3786,99.169
2907.33836,99.168
2905.29812,99.186
2903.25789,99.207
2901.21765,99.218
2899.17741,99.238
2897.13717,99.262
2895.09694,99.269
2893.0567,99.268
2891.01646,99.266
2888.97622,99.26
2886.93599,99.266
2884.89575,99.29
2882.85551,99.307
2880.81527,99.303
2878.77504,99.301
2876.7348,99.298
2874.69456,99.27
2872.65432,99.24
2870.61409,99.244
2868.57385,99.277
2866.53361,99.305
2864.49337,99.313
2862.45314,99.302
2860.4129,99.276
2858.37266,99.256
2856.33242,99.247
2854.29219,99.233
2852.25195,99.222
2850.21171,99.234
2848.17148,99.263
2846.13124,99.289
2844.091,99.297
2842.05076,99.299
2840.01053,99.319
2837.97029,99.354
2835.93005,99.362
