TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
2344.25764,0.01355
2342.21739,0.01364
2340.17713,0.01344
2338.13687,0.01329
2336.09661,0.01319
2334.05635,0.01307
2332.01609,0.01307
2329.97583,0.01311
2327.93557,0.01293
2325.89531,0.01275
2323.85505,0.01276
2321.81480,0.01258
2319.77454,0.01209
2317.73428,0.01154
2315.69402,0.01108
2313.65376,0.01075
2311.61350,0.01050
2309.57324,0.01016
2307.53298,0.00971
2305.49272,0.00922
2303.45246,0.00881
2301.41220,0.00847
2299.37195,0.00812
2297.33169,0.00777
2295.29143,0.00747
2293.25117,0.00730
2291.21091,0.00714
2289.17065,0.00691
2287.13039,0.00672
2285.09013,0.00659
2283.04987,0.00642
2281.00961,0.00626
2278.96936,0.00621
2276.92910,0.00627
2274.88884,0.00635
2272.84858,0.00640
2270.80832,0.00645
2268.76806,0.00648
2266.72780,0.00648
2264.68754,0.00648
2262.64728,0.00649
2260.60702,0.00645
2258.56676,0.00637
2256.52651,0.00638
2254.48625,0.00643
2252.44599,0.00642
2250.40573,0.00635
2248.36547,0.00625
2246.32521,0.00620
2244.28495,0.00620
2242.24469,0.00619
2240.20443,0.00619
2238.16417,0.00619
2236.12392,0.00614
2234.08366,0.00607
2232.04340,0.00604
2230.00314,0.00602
2227.96288,0.00601
2225.92262,0.00606
2223.88236,0.00614
2221.84210,0.00614
2219.80184,0.00612
2217.76158,0.00616
2215.72132,0.00623
2213.68107,0.00624
2211.64081,0.00617
2209.60055,0.00613
2207.56029,0.00616
2205.52003,0.00621
2203.47977,0.00622
2201.43951,0.00619
2199.39925,0.00616
2197.35899,0.00613
2195.31873,0.00611
2193.27848,0.00610
2191.23822,0.00610
2189.19796,0.00618
2187.15770,0.00628
2185.11744,0.00626
2183.07718,0.00617
2181.03692,0.00616
2178.99666,0.00623
2176.95640,0.00627
2174.91614,0.00628
2172.87588,0.00627
2170.83563,0.00627
2168.79537,0.00629
2166.75511,0.00630
2164.71485,0.00628
2162.67459,0.00627
2160.63433,0.00631
2158.59407,0.00641
2156.55381,0.00646
2154.51355,0.00641
2152.47329,0.00634
2150.43304,0.00626
2148.39278,0.00619
2146.35252,0.00620
2144.31226,0.00620
2142.27200,0.00616
2140.23174,0.00614
2138.19148,0.00619
2136.15122,0.00624
2134.11096,0.00617
2132.07070,0.00610
2130.03044,0.00611
2127.99019,0.00617
2125.94993,0.00622
2123.90967,0.00627
