TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
1715.83969,98.199
1713.79945,98.271
1711.75922,98.348
1709.71898,98.374
1707.67874,98.364
1705.63851,98.333
1703.59827,98.291
1701.55803,98.226
1699.51779,98.168
1697.47756,98.197
1695.43732,98.294
1693.39708,98.361
1691.35684,98.352
1689.31661,98.308
1687.27637,98.267
1685.23613,98.21
1683.19589,98.159
1681.15566,98.189
1679.11542,98.264
1677.07518,98.321
1675.03494,98.343
1672.99471,98.342
1670.95447,98.321
1668.91423,98.307
1666.87399,98.335
1664.83376,98.372
1662.79352,98.388
1660.75328,98.401
1658.71304,98.416
1656.67281,98.395
1654.63257,98.321
1652.59233,98.264
1650.55209,98.279
1648.51186,98.285
1646.47162,98.284
1644.43138,98.337
1642.39114,98.408
1640.35091,98.432
1638.31067,98.391
1636.27043,98.34
1634.23019,98.356
1632.18996,98.415
1630.14972,98.456
1628.10948,98.465
1626.06924,98.45
1624.02901,98.428
1621.98877,98.423
1619.94853,98.431
1617.90829,98.422
1615.86806,98.406
1613.82782,98.409
1611.78758,98.414
1609.74735,98.409
1607.70711,98.406
1605.66687,98.41
1603.62663,98.414
1601.5864,98.419
1599.54616,98.426
1597.50592,98.426
1595.46568,98.421
1593.42545,98.422
1591.38521,98.422
1589.34497,98.415
1587.30473,98.413
1585.2645,98.419
1583.22426,98.426
1581.18402,98.419
1579.14378,98.383
1577.10355,98.33
1575.06331,98.307
1573.02307,98.31
1570.98283,98.295
1568.9426,98.275
1566.90236,98.29
1564.86212,98.316
1562.82188,98.308
1560.78165,98.244
1558.74141,98.169
1556.70117,98.167
1554.66093,98.205
1552.6207,98.226
1550.58046,98.221
1548.54022,98.203
1546.49998,98.165
1544.45975,98.105
1542.41951,98.076
1540.37927,98.104
1538.33903,98.162
1536.2988,98.195
1534.25856,98.19
1532.21832,98.186
1530.17808,98.188
1528.13785,98.156
1526.09761,98.106
1524.05737,98.085
1522.01713,98.081
1519.9769,98.07
1517.93666,98.065
1515.89642,98.104
1513.85619,98.16
1511.81595,98.139
1509.77571,98.037
1507.73547,97.986
1505.69524,98.102
1503.655,98.239
1501.61476,98.278
1499.57452,98.258
1497.53429,98.265
1495.49405,98.327
1493.45381,98.356
1491.41357,98.284
1489.37334,98.213
1487.3331,98.273
1485.29286,98.399
1483.25262,98.49
