TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
1624.02901,98.638
1621.98877,98.624
1619.94853,98.637
1617.90829,98.661
1615.86806,98.646
1613.82782,98.6
1611.78758,98.562
1609.74735,98.54
1607.70711,98.533
1605.66687,98.535
1603.62663,98.537
1601.5864,98.539
1599.54616,98.55
1597.50592,98.562
1595.46568,98.56
1593.42545,98.547
1591.38521,98.53
1589.34497,98.511
1587.30473,98.495
1585.2645,98.494
1583.22426,98.505
1581.18402,98.515
1579.14378,98.525
1577.10355,98.541
1575.06331,98.546
1573.02307,98.534
1570.98283,98.517
1568.9426,98.497
1566.90236,98.484
1564.86212,98.491
1562.82188,98.52
1560.78165,98.563
1558.74141,98.571
1556.70117,98.516
1554.66093,98.464
1552.6207,98.432
1550.58046,98.406
1548.54022,98.389
1546.49998,98.381
1544.45975,98.409
1542.41951,98.504
1540.37927,98.59
1538.33903,98.57
1536.2988,98.505
1534.25856,98.457
1532.21832,98.431
1530.17808,98.413
1528.13785,98.388
1526.09761,98.36
1524.05737,98.381
1522.01713,98.444
1519.9769,98.464
1517.93666,98.424
1515.89642,98.389
1513.85619,98.377
1511.81595,98.344
1509.77571,98.292
1507.73547,98.302
1505.69524,98.39
1503.655,98.424
1501.61476,98.407
1499.57452,98.41
1497.53429,98.445
1495.49405,98.482
1493.45381,98.485
1491.41357,98.456
1489.37334,98.443
1487.3331,98.48
1485.29286,98.526
