TITLE SAMPLE NAME:,PP_ICE_CREAM
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.787
LASTX:,599.82981
LASTY:,97.212
NPOINTS:,1681
3011.39047,98.029
3009.35023,98.039
3007.31,98.048
3005.26976,98.046
3003.22952,98.046
3001.18928,98.054
2999.14905,98.06
2997.10881,98.065
2995.06857,98.072
2993.02833,98.073
2990.9881,98.075
2988.94786,98.08
2986.90762,98.083
2984.86738,98.077
2982.82715,98.052
2980.78691,98.008
2978.74667,97.951
2976.70643,97.867
2974.6662,97.758
2972.62596,97.629
2970.58572,97.455
2968.54548,97.216
2966.50525,96.916
2964.46501,96.574
2962.42477,96.232
2960.38453,95.951
2958.3443,95.778
2956.30406,95.672
2954.26382,95.533
2952.22358,95.317
2950.18335,95.086
2948.14311,94.986
2946.10287,95.125
2944.06264,95.452
2942.0224,95.805
2939.98216,96.053
2937.94192,96.164
2935.90169,96.135
2933.86145,95.98
2931.82121,95.74
2929.78097,95.426
2927.74074,95.043
2925.7005,94.643
2923.66026,94.278
2921.62002,93.947
2919.57979,93.633
2917.53955,93.408
2915.49931,93.374
2913.45907,93.506
2911.41884,93.703
2909.3786,93.897
2907.33836,94.086
2905.29812,94.278
2903.25789,94.455
2901.21765,94.634
2899.17741,94.847
2897.13717,95.053
2895.09694,95.22
2893.0567,95.369
2891.01646,95.49
2888.97622,95.574
2886.93599,95.625
2884.89575,95.651
2882.85551,95.656
2880.81527,95.622
2878.77504,95.553
2876.7348,95.501
2874.69456,95.493
2872.65432,95.49
2870.61409,95.449
2868.57385,95.375
2866.53361,95.323
2864.49337,95.364
2862.45314,95.515
2860.4129,95.704
2858.37266,95.85
2856.33242,95.913
2854.29219,95.889
2852.25195,95.816
2850.21171,95.761
2848.17148,95.766
2846.13124,95.781
2844.091,95.727
2842.05076,95.59
2840.01053,95.419
2837.97029,95.296
2835.93005,95.286
