TITLE SAMPLE NAME:,PP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
3629.58242,0.97472
3627.54218,0.9743
3625.50194,0.97438
3623.4617,0.97476
3621.42147,0.97516
3619.38123,0.97525
3617.34099,0.97488
3615.30075,0.97455
3613.26052,0.97456
3611.22028,0.97469
3609.18004,0.97468
3607.13981,0.9746
3605.09957,0.97464
3603.05933,0.97475
3601.01909,0.97479
3598.97886,0.97468
3596.93862,0.97449
3594.89838,0.97441
3592.85814,0.97449
3590.81791,0.97447
3588.77767,0.97406
3586.73743,0.97362
3584.69719,0.9737
3582.65696,0.974
3580.61672,0.97409
3578.57648,0.97404
3576.53624,0.97398
3574.49601,0.97401
3572.45577,0.97435
3570.41553,0.97474
3568.37529,0.97454
3566.33506,0.97389
3564.29482,0.97358
3562.25458,0.97366
3560.21434,0.97371
3558.17411,0.97378
3556.13387,0.97408
3554.09363,0.97438
3552.05339,0.97444
3550.01316,0.97445
3547.97292,0.9744
3545.93268,0.97422
3543.89244,0.9742
3541.85221,0.97434
3539.81197,0.97431
3537.77173,0.97403
3535.73149,0.97378
3533.69126,0.9738
3531.65102,0.97393
3529.61078,0.97403
3527.57054,0.97405
3525.53031,0.97402
3523.49007,0.97408
3521.44983,0.97427
3519.40959,0.97436
3517.36936,0.97433
3515.32912,0.97445
3513.28888,0.97464
3511.24865,0.97453
3509.20841,0.97428
3507.16817,0.97419
3505.12793,0.97414
3503.0877,0.97395
3501.04746,0.97387
3499.00722,0.97402
3496.96698,0.97416
3494.92675,0.97418
3492.88651,0.97416
3490.84627,0.9741
3488.80603,0.97398
3486.7658,0.97396
3484.72556,0.97409
3482.68532,0.97422
3480.64508,0.97425
3478.60485,0.97423
3476.56461,0.97421
3474.52437,0.97411
3472.48413,0.97392
3470.4439,0.97367
3468.40366,0.97349
3466.36342,0.9736
3464.32318,0.97389
3462.28295,0.9741
3460.24271,0.97408
3458.20247,0.97393
3456.16223,0.97393
3454.122,0.97411
3452.08176,0.97424
3450.04152,0.97423
3448.00128,0.97417
3445.96105,0.9741
3443.92081,0.97407
3441.88057,0.97409
3439.84033,0.97407
3437.8001,0.97399
3435.75986,0.97397
3433.71962,0.97398
3431.67938,0.97395
3429.63915,0.97405
3427.59891,0.97413
3425.55867,0.9739
3423.51843,0.97365
3421.4782,0.97363
3419.43796,0.97379
3417.39772,0.97407
3415.35749,0.97428
3413.31725,0.97435
3411.27701,0.97435
3409.23677,0.97431
3407.19654,0.97422
3405.1563,0.97409
3403.11606,0.97408
3401.07582,0.9742
3399.03559,0.97422
3396.99535,0.97414
3394.95511,0.97396
3392.91487,0.97391
3390.87464,0.97405
3388.8344,0.97409
3386.79416,0.97394
3384.75392,0.97387
3382.71369,0.9739
3380.67345,0.97388
3378.63321,0.97372
3376.59297,0.97345
3374.55274,0.97339
3372.5125,0.9735
3370.47226,0.97351
3368.43202,0.97352
3366.39179,0.97379
3364.35155,0.97415
3362.31131,0.97432
3360.27107,0.97425
3358.23084,0.97405
3356.1906,0.97391
3354.15036,0.9739
3352.11012,0.97398
3350.06989,0.97392
3348.02965,0.9737
3345.98941,0.97366
3343.94917,0.97372
3341.90894,0.97365
3339.8687,0.97364
3337.82846,0.97374
3335.78822,0.97381
3333.74799,0.97394
3331.70775,0.97406
3329.66751,0.97406
3327.62727,0.97409
